"Date_Nominated","Name_of_Nominee","Court_to_Which_Nominated","ABA_Rating","President","Congress"
"7/31/97","Murphy, G. Patrick","USDC: Southern District of Illinois","Qsm/WQmin","Clinton",105
"7/31/97","Moreno, Carlos R.","USDC: Central District of California","WQsm/Qmin","Clinton",105
"7/31/97","McCuskey, Michael Patrick","USDC: Central District of Illinois","WQ","Clinton",105
"7/31/97","Roberts, Victoria A.","USDC: Eastern District of Michigan","WQsm/Qmin","Clinton",105
"7/31/97","Massiah-Jackson, Frederica A.","USDC: Eastern District of Pennsylvania","Qsm/WQmin","Clinton",105
"7/31/97","Kauffman, Bruce W.","USDC: Eastern District of Pennsylvania","WQsm/Qmin","Clinton",105
"7/31/97","Bingler, John H. Jr.","USDC: Western District of Pennsylvania","WQ","Clinton",105
"7/31/97","Gwin, James S.","USDC: Northern District of Ohio","WQsm/Qmin","Clinton",105
"7/31/97","Colman, Jeffrey D.","USDC: Northern District of Illinois","WQ","Clinton",105
"7/31/97","Pallmeyer, Rebecca R.","USDC: Northern District of Illinois","Q","Clinton",105
"7/31/97","Polster, Dan A.","USDC: Northern District of Ohio","WQsm/Qmin","Clinton",105
"7/31/97","Marbley, Algenon L.","USDC: Southern District of Ohio","Qm/WQmin","Clinton",105
"9/4/97","Kimball, Dale A.","USDC: District of Utah","WQ","Clinton",105
"9/4/97","Shea, Edward F.","USDC: Eastern District of Washington","Q","Clinton",105
"9/8/97","Adelman, Lynn S.","USDC: Eastern District of Wisconsin","Q","Clinton",105
"9/8/97","Fogel, Jeremy D.","USDC: Northern District of California","WQsm/Qmin","Clinton",105
"9/15/97","Story, Richard W.","USDC: Northern District of Georgia","WQm/Qmin","Clinton",105
"9/24/97","Tarnow, Arthur J.","USDC: Eastern District of Michigan","Qsm/NQmin","Clinton",105
"9/24/97","Steeh, Geroge C. III","USDC: Eastern District of Michigan","WQm/Qmin","Clinton",105
"9/25/97","Marcus, Stanley (FL)","Eleventh Circuit","WQsm/Qmin","Clinton",105
"10/8/97","King, Garr Michael","USDC: District of Oregon","Qsm/WQmin","Clinton",105
"10/8/97","Moon, Norman","USDC: Western District of Virginia","WQsm/Qmin","Clinton",105
"","","","","Clinton",105
"DATE","NAME OF","COURT TO WHICH","ABA","Clinton",105
"NOMINATED","NOMINEE","NOMINATED","RATING","Clinton",105
"10/20/97","Lipez, Kermit (ME)","First Circuit","WQsm/Qmin","Clinton",105
"10/20/97","Matz, A. Howard","USDC: Central District of California","WQsm/Qmin","Clinton",105
"11/6/97","Pooler, Rosemary S. (NY)","Second Circuit","Q","Clinton",105
"11/6/97","Sack, Robert D. (NY)","Second Circuit","Q","Clinton",105
"11/7/97","Dawson, Robert T.","USDC: Western District of Arkansas","Q","Clinton",105
"","","","","Clinton",105
"","","","WQm/Qmin","Clinton",105
"11/8/97","Gould, Ronald M. (WA)","Ninth Circuit","minority abstained","Clinton",105
"11/8/97","Silverman, Barry G. (AZ)","Ninth Circuit","Q","Clinton",105
"11/8/97","Lindsay, Sam A.","USDC: Northern District of Texas","Q","Clinton",105
"","","","","Clinton",105
"DATE","NAME OF","COURT TO WHICH","","Clinton",105
"NOMINATED","NOMINEE","NOMINATED","","Clinton",105
"1/27/98","Kelly, John David  (ND)","Eighth Circuit","Q","Clinton",105
"1/27/98","Berzon, Marsha S.  (CA)","Ninth Circuit","WQsm/Qmin","Clinton",105
"1/27/98","Wardlaw, Kim McLane (CA)","Ninth Circuit","Q","Clinton",105
"1/27/98","Barzilay, Judith  (NJ)","Court of International Trade","Q","Clinton",105
"","","","","Clinton",105
"","","","WQsm/Qmin","Clinton",105
"1/27/98","Ridgway, Delissa Ann  (DC)","Court of International Trade","1 abstention","Clinton",105
"1/27/98","Dimitrouleas,. William P.","USDC: Southern District of Florida","WQsm/Qmin","Clinton",105
"1/27/98","James, Robert G.","USDC: Western District of Louisiana","Q","Clinton",105
"1/27/98","Klein, James W.","USDC: District of the District of Columbia","Qsm/NQmin","Clinton",105
"1/27/98","Mickle, Stephan P.","USDC: Northern District of Florida","Qsm/NQmin","Clinton",105
"1/27/98","Rawlinson, Johnnie B.","USDC: District of Nevada","Q","Clinton",105
"1/27/98","Roberts, Richard W.","USDC: District of the District of Columbia","Q","Clinton",105
"","","","","Clinton",105
"","","","WQ or Qsm/","Clinton",105
"1/27/98","Sleet, Gregory M.","USDC: District of Delaware","NQmin","Clinton",105
"2/11/98","Straub, Chester John  (NY)","Second Circuit","Q","Clinton",105
"3/31/98","Manella, Nora M.","USDC: Central District of California","WQ","Clinton",105
"","","","","Clinton",105
"DATE","NAME OF","COURT TO WHICH","","Clinton",105
"NOMINATED","NOMINEE","NOMINATED","","Clinton",105
"4/1/98","Dyk, Timothy Belcher  (DC)","Federal Circuit","Q","Clinton",105
"4/2/98","Tyson, Ralph E. Sr.","USDC: Middle District of Louisiana","Q","Clinton",105
"4/2/98","Scott, Jeanne E.","USDC: Central District of Illinois","Q","Clinton",105
"4/23/98","Freedberg, Robert A.","USDC: Eastern District of Pennsylvania","WQsm/Qmin","Clinton",105
"4/23/98","Herndon, David R.","USDC: Southern District of Illinois","Q","Clinton",105
"4/29/98","Norton, Lynette","USDC: Western District of Pennsylvania","WQm/Qmin","Clinton",105
"4/29/98","Stark, Jeffrey G. (NY)","Court of International Trade","Qm/WQmin","Clinton",105
"5/11/98","Collins, Raner C.","USDC: District of Arizona","Qm/WQmin","Clinton",105
"5/11/98","Lasnik, Robert S.","USDC: Western District of Washington","Qsm/WQmin","Clinton",105
"5/11/98","Phillips, Virginia A.","USDC: Central District of California","WQm/Qmin","Clinton",105
"5/15/98","Hellerstein, Alvin K.","USDC: Southern District of New York","WQsm/Qmin","Clinton",105
"5/19/98","Barbier, Carl J.","USDC: Eastern District of Louisiana","Q","Clinton",105
"5/21/98","Berman, Richard M.","USDC: Southern District of New York","Q","Clinton",105
"5/21/98","Frank, Donovan W.","USDC: District of Minnesota","Q","Clinton",105
"5/21/98","McMahon, Colleen","USDC: Southern District of New York","WQsm/Qmin","Clinton",105
"5/21/98","Pauley, William H. III","USDC: Southern District of New York","WQm/Qmin","Clinton",105
"5/22/98","Lee, Gerald Bruce","USDC: Eastern District of Virginia","Q","Clinton",105
"5/22/98","Seitz, Patricia A.","USDC: Southern District of Florida","Q","Clinton",105
"6/4/98","Kane, Yvette","USDC: Middle District of Pennsylvania","Qm/NQmin","Clinton",105
"6/4/98","Munley, James M.","USDC: Middle District of Pennsylvania","Q","Clinton",105
"6/4/98","Whelan, Thomas J.","USDC: Southern District of California","Q","Clinton",105
"6/5/98","Raymar, Robert S.  (NJ)","Third Circuit","Q","Clinton",105
"6/24/98","Goode, Barry P.  (CA)","Ninth Circuit","Q","Clinton",105
"6/24/98","King, Robert Bruce (WV)","Fourth Circuit","WQsm/Qmin","Clinton",105
"6/25/98","Carter, David O.","USDC: Central District of California","Q","Clinton",105
"7/9/98","Traxler, William B. Jr. (SC)","Fourth Circuit","WQ","Clinton",105
"7/30/98","Davis, Legrome D.","USDC: Eastern District of Pennsylvania","Qm/WQmin","Clinton",105
"","","","","Clinton",105
"DATE","NAME OF","COURT TO WHICH","ABA","Clinton",105
"NOMINATED","NOMINEE","NOMINATED","RATING","Clinton",105
"8/31/98","Buttram, Horace Dean Jr.","USDC: Northern District of Alabama","Qsm/NQmin","Clinton",105
"8/31/98","Johnson, Inge Prytz","USDC: Northern District of Alabama","Q","Clinton",105
"9/9/98","Seymour, Margaret B.","USDC: District of South Carolina","WQ","Clinton",105
"9/16/98","Hibbler, William J.","USDC: Northern District of Illinois","Q","Clinton",105
"9/16/98","Kennelly, Matthew F.","USDC: Northern District of Illinois","WQ","Clinton",105
"9/22/98","Trauger, Aleta A.","USDC: Middle District of Tennessee","WQ","Clinton",105
"9/28/98","Munson, Alex R.","USDC: District of the Northern Mariana Islands","WQ","Clinton",105
"10/5/98","Mordue, Norman A.","USDC: Northern District of New York","Qsm/WQmin","Clinton",105
"","","","","Clinton",106
"DATE","NAME OF","COURT TO WHICH","ABA","Clinton",106
"NOMINATED","NOMINEE","NOMINATED","RATING","Clinton",106
"1/26/99","Berzon, Marsha S. (CA)","Ninth Circuit","WQsm/Qmin","Clinton",106
"1/26/99","Durham, Barbara M. (WA)","Ninth Circuit","Q","Clinton",106
"1/26/99","Goode, Barry P. (CA)","Ninth Circuit","Q","Clinton",106
"","","","","Clinton",106
"","","","WQm/Qmin","Clinton",106
"1/26/99","Gould, Ronald M. (WA)","Ninth Circuit","2 recusals","Clinton",106
"1/26/99","Paez, Richard A. (CA)","Ninth Circuit","WQsm/Qmin","Clinton",106
"1/26/99","Davis, Legrome D.","USDC: Eastern District of Pennsylvania","Qm/WQmin","Clinton",106
"1/26/99","Dyk, Timothy Belcher (DC)","Federal Circuit","Q","Clinton",106
"1/26/99","Ellison, Keith P.","USDC: Southern District of Texas","Qm/NQmin","Clinton",106
"1/26/99","Feess, Gary A.","USDC: Central District of California","WQ","Clinton",106
"1/26/99","Phillips, Virginia A.","USDC: Central District of California","WQm/Qmin","Clinton",106
"1/26/99","Hibbler, William J.","USDC: Northern District of Illinois","Q","Clinton",106
"1/26/99","Kennelly, Matthew F.","USDC: Northern District of Illinois","WQ","Clinton",106
"1/26/99","Norton, Lynette","USDC: Western District of Pennsylvania","WQm/Qmin","Clinton",106
"1/26/99","Underhill, Stefan R.","USDC: District of Connecticut","WQsm/Qmin","Clinton",106
"1/26/99","Ward, T. John","USDC: Eastern District of Texas","WQm/Qmin","Clinton",106
"1/26/99","White, Helene N. (MI)","Sixth Circuit","Qsm/NQmin","Clinton",106
"1/26/99","White, Ronnie L.","USDC: Eastern District of Missouri","Q","Clinton",106
"","","","","Clinton",106
"DATE","NAME OF","COURT TO WHICH","ABA","Clinton",106
"NOMINATED","NOMINEE","NOMINATED","RATING","Clinton",106
"2/12/99","Hurd, David N.","USDC: Northern District of New York","WQ","Clinton",106
"2/12/99","Buchwald, Naomi R.","USDC: Southern District of New York","WQ","Clinton",106
"","","","","Clinton",106
"","","","Qsm/NQmin","Clinton",106
"3/8/99","Fuentes, Julio M. (NJ)","Third Circuit","2 abstentions","Clinton",106
"3/8/99","Katzmann, Robert Allen (DC)","Second Circuit","WQ","Clinton",106
"","","","","Clinton",106
"","","","WQsm/Qmin","Clinton",106
"3/8/99","Lorenz, M. James","USDC: Southern District of California","1 abstention","Clinton",106
"3/8/99","Pepper, William Allen","USDC: Northern District of Mississippi","Q","Clinton",106
"3/8/99","Schreier, Karen E.","USDC: District of South Dakota","Q","Clinton",106
"3/15/99","Fisher, Raymond C. (CA)","Ninth Circuit","WQ","Clinton",106
"3/15/99","Jordan, Adalberto J.","USDC: Southern District of Florida","WQsm/Qmin","Clinton",106
"3/24/99","Alsup, William Haskell","USDC: Northern District of California","WQ","Clinton",106
"3/24/99","Leonard, J. Rich","USDC: Eastern District of North Carolina","WQ","Clinton",106
"3/24/99","Murguia, Carlos","USDC: District of Kansas","Q","Clinton",106
"3/24/99","Pechman, Marsha J.","USDC: Western District of Washington","Q","Clinton",106
"3/25/99","Klein, James W.","USDC: District of the District of Columbia","Qsm/NQmin","Clinton",106
"3/25/99","Huvelle, Ellen S.","USDC: District of the District of Columbia","WQ","Clinton",106
"3/25/99","Lynn, Barbara M. G.","USDC: Northern District of Texas","WQ","Clinton",106
"4/22/99","Johnson, Harry Alston III (LA)","Fifth Circuit","WQ","Clinton",106
"4/22/99","Bye, Kermit E. (ND)","Eighth Circuit","WQsm/Qmin","Clinton",106
"4/22/99","Brown, Anna J.","USDC: District of Oregon","Q","Clinton",106
"4/22/99","Hochberg, Faith S.","USDC: District of New Jersey","WQsm/Qmin","Clinton",106
"4/30/99","McCarthy, Frank H.","USDC: Northern District of Oklahoma","Q","Clinton",106
"5/27/99","Wilson, Charles R. (FL)","Eleventh Circuit","WQm/Qmin","Clinton",106
"5/27/99","Coan, Patricia A.","USDC: District of Colorado","Q","Clinton",106
"5/27/99","Gee, Dolly M.","USDC: Central District of California","Q","Clinton",106
"5/27/99","Haynes, William Joseph","USDC: Middle District of Tennessee","Qm/WQmin","Clinton",106
"5/27/99","Marrero, Victor","USDC: Southern District of New York","Qsm/NQmin","Clinton",106
"5/27/99","Woocher, Frederic D.","USDC: Central District of California","WQ","Clinton",106
"","","","","Clinton",106
"DATE","NAME OF","COURT TO WHICH","ABA","Clinton",106
"NOMINATED","NOMINEE","NOMINATED","RATING","Clinton",106
"6/17/99","Barry, Maryanne Trump (NJ)","Third Circuit","WQ","Clinton",106
"6/17/99","Duffy, James E. Jr. (HI)","Ninth Circuit","WQ","Clinton",106
"6/17/99","Kagan, Elena (DC)","DC Circuit","Qsm/WQmin","Clinton",106
"","","","","Clinton",106
"","","","Qsm/NQmin","Clinton",106
"7/14/99","Brady, James Joseph","USDC: Middle District of Louisiana","1 abstention","Clinton",106
"7/14/99","Pannell, Charles A. Jr.","USDC: Northern District of Georgia","WQ","Clinton",106
"7/14/99","Cooper, Florence-Marie","USDC: Central District of California","WQ","Clinton",106
"7/27/99","Stewart, Brian Theodore","USDC: District of Utah","Q","Clinton",106
"7/27/99","Tucker, Patrese B.","USDC: Eastern District of Pennsylvania","WQm/Qmin","Clinton",106
"8/3/99","Tusan, Gail S.","USDC: Northern District of Georgia","Q","Clinton",106
"8/5/99","Battani, Marianne O.","USDC: Eastern District of Michigan","WQ","Clinton",106
"8/5/99","Bell, Steven D.","USDC: Northern District of Ohio","Q","Clinton",106
"8/5/99","Guzman, Ronald A","USDC: Northern District of Illinois","Qsm/NQmin","Clinton",106
"8/5/99","Lawson, David M.","USDC: Eastern District of Michigan","WQ","Clinton",106
"8/5/99","Williams, Ann Claire (IL)","Seventh Circuit","WQ","Clinton",106
"8/5/99","Wynn, James A. Jr. (IL)","Fourth Circuit","Q","Clinton",106
"8/5/99","Daniels, George B.","USDC: Southern District of New York","WQ","Clinton",106
"9/17/99","Lewis, Kathleen McCree (MI)","Sixth Circuit","WQ","Clinton",106
"9/17/99","Moreno, Enrique (TX)","Fifth Circuit","WQ","Clinton",106
"9/20/99","Eaton, Richard K.","Court of International Trade","Q","Clinton",106
"9/22/99","Lyons, James M. (CO)","Tenth Circuit","WQ","Clinton",106
"9/22/99","Snyder, Allen Roger (MD)","DC Circuit","WQ","Clinton",106
"","","","","Clinton",106
"","","","WQ","Clinton",106
"9/22/99","Pisano, Joel A.","USDC: District of New Jersey","1 recusal","Clinton",106
"9/28/99","Linn, Richard (VA)","Federal Circuit","Q","Clinton",106
"9/28/99","Ambro, Thomas L. (DE)","Third Circuit","WQsm/Qmin","Clinton",106
"10/20/99","Whittemore, James D.","USDC: Middle District of Florida","WQ","Clinton",106
"10/20/99","Tallman, Richard C. (WA)","Ninth Circuit","WQsm/Qmin","Clinton",106
"","","","","Clinton",106
"DATE","NAME OF","COURT TO WHICH","ABA","Clinton",106
"NOMINATED","NOMINEE","NOMINATED","RATING","Clinton",106
"11/17/99","Fields, Rhonda C.","USDC: District of the District of Columbia","Qsm/NQmin","Clinton",106
"","","","","Clinton",106
"DATE","NAME OF","COURT TO WHICH","ABA","Clinton",106
"NOMINATED","NOMINEE","NOMINATED","RATING","Clinton",106
"2/9/00","Antoon, John II","USDC: Middle District of Florida","WQ","Clinton",106
"2/9/00","Cindrich, Robert James (PA)","Third Circuit","WQ","Clinton",106
"2/9/00","Markus, Kent (OH)","Sixth Circuit","Q","Clinton",106
"2/9/00","Hamilton, Phyllis J.","USDC: Northern District of California","Q","Clinton",106
"2/22/00","Rawlinson, Johnnie B. (NV)","Ninth Circuit","Q","Clinton",106
"2/22/00","Garaufis, Nicholas G.","USDC: Eastern District of New York","Q","Clinton",106
"2/22/00","Lynch, Gerald E.","USDC: Southern District of New York","WQ","Clinton",106
"3/2/00","Campbell, Bonnie J. (IA)","Eighth Circuit","Qm/NQmin","Clinton",106
"3/9/00","Fineman, S. David","USDC: Eastern District of Pennsylvania","Q","Clinton",106
"3/9/00","McLaughlin, Mary A.","USDC: Eastern District of Pennsylvania","WQ","Clinton",106
"3/27/00","Martin, Beverly B.","USDC: Northern District of Georgia","WQsm/Qmin","Clinton",106
"3/27/00","Hunt, Roger L.","USDC: District of Nevada","WQsm/Qmin","Clinton",106
"4/5/00","Garcia-Gregory, Jay A.","USDC: District of Puerto Rico","Q","Clinton",106
"4/6/00","Dawson, Kent J.","USDC: District of Nevada","Qsm/NQmin","Clinton",106
"4/11/00","Schiller, Berle M.","USDC: Eastern District of Pennsylvania","WQsm/Qmin","Clinton",106
"4/11/00","Surrick, Richard Barclay","USDC: Eastern District of Pennsylvania","WQsm/Qmin","Clinton",106
"4/25/00","Riegle, Linda B.","USDC: District of Nevada","Qsm/WQmin","Clinton",106
"4/25/00","Swain, Laura Taylor","USDC: Southern District of New York","Qsm/WQmin","Clinton",106
"5/3/00","Cavanaugh, Dennis M.","USDC: District of New Jersey","WQ","Clinton",106
"5/9/00","Huck, Paul C.","USDC: Southern District of Florida","WQsm/Qmin","Clinton",106
"5/11/00","Darrah, John W.","USDC: Northern District of Illinois","Qm/WQmin","Clinton",106
"5/11/00","Lefkow, Joan H.","USDC: Northern District of Illinois","WQsm/Qmin","Clinton",106
"","","","","Clinton",106
"DATE","NAME OF","COURT TO WHICH","","Clinton",106
"NOMINATED","NOMINEE","NOMINATED","","Clinton",106
"5/11/00","Morado, Ricardo","USDC: Southern District of Texas","Q","Clinton",106
"5/11/00","Reagan, Michael J.","USDC: Southern District of Illinois","Q","Clinton",106
"5/11/00","Singal, George Z.","USDC: District of Maine","WQ","Clinton",106
"5/25/00","Orlofsky, Stephen M. (NJ)","Third Circuit","WQ","Clinton",106
"6/6/00","Sebelius, K. Gary","USDC: District of Kansas","WQsm/Qmin","Clinton",106
"6/6/00","Simon, Kenneth O.","USDC: Northern District of Alabama","Q","Clinton",106
"6/6/00","Steele, John E.","USDC: Middle District of Florida","WQ","Clinton",106
"6/8/00","Lim, John S.W.","USDC: District of Hawaii","Qsm/1Abstention","Clinton",106
"6/8/00","Presnell, Gregory A.","USDC: Middle District of Florida","WQ","Clinton",106
"6/8/00","Moody, James S. Jr.","USDC: Middle District of Florida","WQsm/Qmin","Clinton",106
"6/30/00","Gregory, Roger (NC)","Fourth Circuit","Qsm/NQmin","Clinton",106
"7/21/00","Bolton, Susan R.","USDC: District of Arizona","WQsm/Qmin","Clinton",106
"7/21/00","Murguia, Mary H.","USDC: District of Arizona","Q","Clinton",106
"7/21/00","Teilborg, James A.","USDC: District of Arizona","Q","Clinton",106
"7/27/00","Arguello, Christine M. (CO)","Tenth Circuit","Q","Clinton",106
"7/27/00","Cercone, David S.","USDC: Western District of Pennsylvania","Qsm/WQmin","Clinton",106
"7/27/00","Litman, Harry P.","USDC: Western District of Pennsylvania","Q","Clinton",106
"7/27/00","Couch, Valerie K.","USDC: Western District of Oklahoma","Qm/WQmin","Clinton",106
"7/27/00","Johnston, Marian M.","USDC: Eastern District of California","Q","Clinton",106
"9/12/00","Achelpohl, Steven E.","USDC: District of Nebraska","WQm/Qmin","Clinton",106
"9/13/00","Anderson, Richard W.","USDC: District of Montana","WQ","Clinton",106
"9/14/00","Lieberman, Stephen B.","USDC: Eastern District of Pennsylvania","Q","Clinton",106
"10/6/00","Davis, Andre M. (MD)","Fourth Circuit","WQ","Clinton",106
"10/6/00","Hall, Melvin C.","USDC: Western District of Oklahoma","Qm/NQmin","Clinton",106
"10/24/00","Gibson, S. Elizabeth (NC)","Fourth Circuit","WQsm/Qmin","Clinton",106
"","","","","W. Bush",107
"DATE","NAME OF","COURT TO WHICH","ABA","W. Bush",107
"NOMINATED","NOMINEE","NOMINATED","RATING","W. Bush",107
"","","","","W. Bush",107
"5/9/01","Parker, Jr., Barrington D. (CT)","Second Circuit","WQ","W. Bush",107
"","","","","W. Bush",107
"5/9/01","Boyle, Terrence W. (NC)","Fourth Circuit","Q","W. Bush",107
"","","","","W. Bush",107
"5/9/01","Shedd, Dennis W. (SC)","Fourth Circuit","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"","","","WQsm/Qmin","W. Bush",107
"5/9/01","Clement, Edith Brown (LA)","Fifth Circuit","(1 abstention)","W. Bush",107
"","","","","W. Bush",107
"5/9/01","Owen, Priscilla R. (TX)","Fifth Circuit","WQ","W. Bush",107
"","","","","W. Bush",107
"5/9/01","Cook, Deborah L. (OH)","Sixth Circuit","Q","W. Bush",107
"","","","","W. Bush",107
"5/9/01","Sutton, Jeffrey S. (OH)","Sixth Circuit","Qsm/WQmin","W. Bush",107
"","","","","W. Bush",107
"5/9/01","McConnell, Michael W. (UT)","Tenth Circuit","WQ","W. Bush",107
"","","","","W. Bush",107
"5/9/01","Estrada, Miguel Angel (VA)","DC Circuit","WQ","W. Bush",107
"","","","","W. Bush",107
"5/9/01","Gregory, Roger L. (VA)","Fourth Circuit","Q","W. Bush",107
"","","","","W. Bush",107
"5/9/01","Roberts, Jr., John G. (MD)","DC Circuit","WQ","W. Bush",107
"","","","","W. Bush",107
"5/17/01","Haddon, Sam Ellis","USDC: District of Montana","WQ","W. Bush",107
"","","","","W. Bush",107
"5/17/01","Cebull, Richard Frank","USDC: District of Montana","WQ","W. Bush",107
"","","","","W. Bush",107
"5/21/01","Prost, Sharon (DC)","Federal Circuit","Qm/NQmin","W. Bush",107
"","","","","W. Bush",107
"5/22/01","Smith, Lavenski R. (AR)","Eighth Circuit","Q","W. Bush",107
"","","","","W. Bush",107
"5/23/01","Riley, William Jay (NE)","Eighth Circuit","WQ","W. Bush",107
"","","","","W. Bush",107
"5/25/01","Pickering, Sr., Charles W. (MS)","Fifth Circuit","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"DATE","NAME OF","COURT TO WHICH","ABA","W. Bush",107
"NOMINATED","NOMINEE","NOMINATED","RATING","W. Bush",107
"","","","","W. Bush",107
"5/25/01","Tymkovich, Timothy M. (CO)","Tenth Circuit","Qsm/NQmin","W. Bush",107
"","","","","W. Bush",107
"6/18/01","Wooten, Terry L.","USDC: District of South Carolina","WQ","W. Bush",107
"","","","","W. Bush",107
"6/19/01","Camp, Laurie Smith","USDC: District of Nebraska","Qsm/WQmin","W. Bush",107
"","","","","W. Bush",107
"","","","WQsm/","W. Bush",107
"6/19/01","Cassell, Paul George","USDC: District of Utah","Qmin/NQmin","W. Bush",107
"","","","","W. Bush",107
"6/20/01","Bates, John Deacon","USDC: District of the District of","WQ","W. Bush",107
"","","Columbia","","W. Bush",107
"","","","","W. Bush",107
"6/20/01","Walton, Reggie B.","USDC: District of the District of","WQ","W. Bush",107
"","","Columbia","","W. Bush",107
"","","","","W. Bush",107
"6/21/01","Hartz, Harris L. (NM)","Tenth Circuit","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"6/22/01","Clifton, Richard R. (HI)","Ninth Circuit","Q","W. Bush",107
"","","","","W. Bush",107
"6/22/01","Kuhl, Carolyn Barbara (CA)","Ninth Circuit","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"7/10/01","Gritzner, James E.","USDC: Southern District of Iowa","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"7/10/01","Melloy, Michael J. (IA)","Eighth Circuit","WQ","W. Bush",107
"","","","","W. Bush",107
"7/10/01","Mills, Michael Paul","USDC: Northern District of Mississippi","Q","W. Bush",107
"","","","","W. Bush",107
"8/2/01","Howard, Jeffrey R. (NH)","First Circuit","Qsm/NQmin","W. Bush",107
"","","","","W. Bush",107
"8/2/01","O’Brien, Terrence L. (WY)","Tenth Circuit","WQm/Qmin","W. Bush",107
"","","","","W. Bush",107
"8/2/01","Bowdre, Karon O.","USDC:  Northern District of Alabama","Q","W. Bush",107
"","","","","W. Bush",107
"8/2/01","Bunning, David L.","USDC: Eastern District of Kentucky","NQm/Qmin","W. Bush",107
"","","","","W. Bush",107
"8/2/01","Caldwell, Karen K.","USDC: Eastern District of Kentucky","Q","W. Bush",107
"","","","","W. Bush",107
"8/2/01","Reeves, Danny C.","USDC: Eastern District of Kentucky","Qsm/WQmin","W. Bush",107
"","","","","W. Bush",107
"8/2/01","Englehardt, Kurt D.","USDC: Eastern District of Louisiana","Q","W. Bush",107
"","","","","W. Bush",107
"8/2/01","Hicks, Larry R.","USDC: District of Nevada","WQ","W. Bush",107
"","","","","W. Bush",107
"8/2/01","Armijo, M. Christina","USDC: District of New Mexico","Q","W. Bush",107
"","","","","W. Bush",107
"8/2/01","Johnson, William Paul","USDC: District of New Mexico","Q","W. Bush",107
"","","","","W. Bush",107
"8/2/01","Eagan, Claire V.","USDC: Northern District of Oklahoma","WQ","W. Bush",107
"","","","","W. Bush",107
"8/2/01","Friot, Stephen P.","USDC: Western District of Oklahoma","WQ","W. Bush",107
"","","","","W. Bush",107
"8/2/01","Heaton, Joe L.","USDC: Western District of Oklahoma","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"8/2/01","Payne, James H.","USDC: Eastern District of Oklahoma","WQ","W. Bush",107
"","","","","W. Bush",107
"DATE","NAME OF","COURT TO WHICH","ABA","W. Bush",107
"NOMINATED","NOMINEE","NOMINATED","RATING","W. Bush",107
"","","","","W. Bush",107
"8/2/01","Granade, Callie V.","USDC: Southern District of Alabama","WQ","W. Bush",107
"","","","","W. Bush",107
"9/10/01","Blackburn, Robert E.","USDC: District of Colorado","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"9/10/01","Kreiger, Marcia S.","USDC: District of Colorado","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"9/10/01","Bury, David C.","USDC: District of Arizona","Qsm/NQmin","W. Bush",107
"","","","","W. Bush",107
"9/10/01","Jorgenson, Cindy K.","USDC: District of Arizona","WQ","W. Bush",107
"","","","","W. Bush",107
"9/10/01","Martone, Frederick J.","USDC: District of Arizona","Qsm/NQmin","W. Bush",107
"","","","","W. Bush",107
"9/10/01","Leon, Richard J.","USDC: District of the District of","WQ","W. Bush",107
"","","Columbia","","W. Bush",107
"","","","","W. Bush",107
"9/10/01","Mahan, James C.","USDC: District of Nevada","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"9/10/01","Robinson, Julie A.","USDC: District of Kansas","WQ","W. Bush",107
"","","","","W. Bush",107
"","Smith, David Brookman (PA)","","","W. Bush",107
"9/10/01","(a/k/a D. Brooks Smith)","Third Circuit","WQ","W. Bush",107
"","","","","W. Bush",107
"9/21/01","Land, Clay D.","USDC: Middle District of Georgia","WQm/Qmin","W. Bush",107
"","","","","W. Bush",107
"9/21/01","Crane, Robert Randall","","","W. Bush",107
"","(a/k/a Randy Crane)","USDC: Southern District of Texas","Q","W. Bush",107
"","","","","W. Bush",107
"10/9/01","Gibbons, Julia Smith (TN)","Sixth Circuit","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"10/9/01","Steele, William H. (AL)","Eleventh Circuit","Qsm/NQmin","W. Bush",107
"","","","","W. Bush",107
"10/9/01","Martinez, Philip R.","USDC: Western District of Texas","WQ","W. Bush",107
"","","","","W. Bush",107
"10/9/01","Royal, C. Ashley","USDC: Middle District of Georgia","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"10/10/01","Zainey, Jay C.","USDC: Eastern District of Louisiana","Qsm/NQmin","W. Bush",107
"","","","","W. Bush",107
"11/8/01","McKeague, David W. (MI)","Sixth Circuit","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"11/8/01","Neilson, Susan Bieke (MI)","Sixth Circuit","WQ","W. Bush",107
"","","","","W. Bush",107
"11/8/01","Saad, Henry W. (MI)","Sixth Circuit","Qm/WQmin","W. Bush",107
"","","","","W. Bush",107
"11/8/01","Beistline, Ralph R.","USDC: District of Alaska","Qsm/WQmin","W. Bush",107
"","","","","W. Bush",107
