"Judge#","Title","Judge","Duty.station","Born","Active","Chief","Senior","Appointed.by","circuit","name","gender","ActiveStartYear","ActiveEndYear","currActive","yrsActive","ChiefStartYear","ChiefEndYear","currChief","yrsChief","SeniorStartYear","SeniorEndYear","currSenior","yrsSenior","pres_start_year","yrOfPresidency"
"74","Senior Judge","Joyce Hens Green","inactive","1928","1979–1995","—","1995–present","Carter","DC Circuit","Joyce","female","1979","1995","N",16,"","","N",0,"1995","2018","Y",23,"1977",2
"77","Senior Judge","Thomas F. Hogan","Washington, D.C.","1938","1982–2008","2001–2008","2008–present","Reagan","DC Circuit","Thomas","male","1982","2008","N",26,"2001","2008","N",7,"2008","2018","Y",10,"1981",1
"81","Senior Judge","Royce Lamberth","San Antonio, Texas[Note 1]","1943","1987–2013","2008–2013","2013–present","Reagan","DC Circuit","Royce","male","1987","2013","N",26,"2008","2013","N",5,"2013","2018","Y",5,"1981",6
"83","Senior Judge","Paul L. Friedman","Washington, D.C.","1944","1994–2009","—","2009–present","Clinton","DC Circuit","Paul","male","1994","2009","N",15,"","","N",0,"2009","2018","Y",9,"1993",1
"84","Senior Judge","Gladys Kessler","inactive","1938","1994–2007","—","2007–present","Clinton","DC Circuit","Gladys","female","1994","2007","N",13,"","","N",0,"2007","2018","Y",11,"1993",1
"89","Senior Judge","Henry H. Kennedy Jr.","inactive","1948","1997–2011","—","2011–present","Clinton","DC Circuit","Henry","male","1997","2011","N",14,"","","N",0,"2011","2018","Y",7,"1993",4
"90","Senior Judge","Richard W. Roberts","inactive","1953","1998–2016","2013–2016","2016–present","Clinton","DC Circuit","Richard","male","1998","2016","N",18,"2013","2016","N",3,"2016","2018","Y",2,"1993",5
"91","Senior Judge","Ellen Segal Huvelle","Washington, D.C.","1948","1999–2014","—","2014–present","Clinton","DC Circuit","Ellen","female","1999","2014","N",15,"","","N",0,"2014","2018","Y",4,"1993",6
"92","Senior Judge","Reggie Walton","Washington, D.C.","1949","2001–2015","—","2015–present","G.W. Bush","DC Circuit","Reggie","male","2001","2015","N",14,"","","N",0,"2015","2018","Y",3,"2001",0
"93","Senior Judge","John D. Bates[1]","Washington, D.C.","1946","2001–2014","—","2014–present","G.W. Bush","DC Circuit","John","male","2001","2014","N",13,"","","N",0,"2014","2018","Y",4,"2001",0
"94","Senior Judge","Richard J. Leon","Washington, D.C.","1949","2002–2016","—","2016–present","G.W. Bush","DC Circuit","Richard","male","2002","2016","N",14,"","","N",0,"2016","2018","Y",2,"2001",1
"95","Senior Judge","Rosemary M. Collyer","Washington, D.C.","1945","2002–2016","—","2016–present","G.W. Bush","DC Circuit","Rosemary","female","2002","2016","N",14,"","","N",0,"2016","2018","Y",2,"2001",1
